title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
IDIOTS, ASSEMBLE! 	No	654/2029	32.232626909807784	"#funny,#potato,#comedy,#group,#idiots,#haha,#funny,#potato,#comedy,#group,#idiots,#haha,,comedy,drama,slice of life,,,,"	"https://tapas.io/series/IDIOTS-ASSEMBLE"
Allstar  	No	654/2030	32.21674876847291	",action,,"	"https://tapas.io/series/Allstar"
What Your 20lb Cat Does When You're Not Home 	No	654/2031	32.20088626292467	"#cats,#cats,,comedy,slice of life,,,"	"https://tapas.io/series/What-Your-20lb-Cat-Does-When-Youre-Not-Home"
Skate Bark 	No	654/2032	32.18503937007874	",comedy,action,slice of life,,,,"	"https://tapas.io/series/Skate-Bark"
Zoeiros Gold 	No	654/2033	32.16920806689621	",comedy,action,fantasy,,,,"	"https://tapas.io/series/Zoeiros-Gold"
Stray Zodiac 	No	654/2034	32.15339233038348	"#fantasy,#dystopian,#zodiac,#oriental,#fantasy,#dystopian,#zodiac,#oriental,,fantasy,romance,drama,,,,"	"https://tapas.io/series/Stray-Zodiac"
Worthy to be Yours 	YESSSSS	655/2035	32.186732186732186	"#action,#romance,#comedy,#bl,#harem,#omegaverse,#action,#romance,#comedy,#bl,#harem,#omegaverse,,romance,bl,drama,,,,"	"https://tapas.io/series/Worthy-to-be-Yours"
Asteri 	No	655/2036	32.17092337917485	",action,drama,fantasy,,,,"	"https://tapas.io/series/Asteri64"
Can you be my friend  ? 	No	655/2037	32.15513009327442	",horror,,"	"https://tapas.io/series/Can-you-be-my-friend--"
She Rode through a Dark World 	No	655/2038	32.13935230618253	"#girl,#woman,#different,#erotic,#myth,#experimental,#girl,#woman,#different,#erotic,#myth,#experimental,,fantasy,,"	"https://tapas.io/series/She-Rode-through-a-Dark-World"
Doglove! 	YESSSSS	656/2039	32.17263364394311	",fantasy,lgbtq+,,,"	"https://tapas.io/series/Doglove"
Project: Reality 	No	656/2040	32.15686274509804	",action,mystery,comedy,,,,"	"https://tapas.io/series/Project-Reality"
Starboy: Adventures On Earth  	No	656/2041	32.141107300342966	",science fiction,slice of life,,,"	"https://tapas.io/series/Starboy-Adventures-On-Earth-"
Now is Not The Time 	No	656/2042	32.12536728697356	",fantasy,action,drama,,,,"	"https://tapas.io/series/Now-is-Not-The-Time"
They're Both a Kilogram 	No	656/2043	32.109642682329905	"#superhero,#supervillain,#superhero,#supervillain,,action,comedy,,,"	"https://tapas.io/series/Theyre-Both-a-Kilogram"
Reinos de outros universos 	YESSSSS	657/2044	32.142857142857146	"#pcds,#vivencias,#lgbtqiamais,#pcds,#vivencias,#lgbtqiamais,,slice of life,lgbtq+,fantasy,,,,"	"https://tapas.io/series/Reinos-de-outros-universos"
Romantic Rain 	No	657/2045	32.12713936430318	",romance,drama,comedy,,,,"	"https://tapas.io/series/Romantic-Rain"
