title	queer?	yes/all	%	tags	url
Purpose ESP 	No	100/382	26.17801047120419	"#shonen,#drama,#misterio,#purpose,#aventura,#pelea,#castellano,#fantasia,#accion,#espanol,#shonen,#drama,#misterio,#purpose,#aventura,#pelea,#castellano,#fantasia,#accion,#espanol,action,action,mystery,fantasy,action,mystery,fantasy,"	"https://tapas.io/series/Purpose-ESP"
Purpose PT BR 	No	100/383	26.109660574412537	"#shonen,#misterio,#briga,#purpose,#br,#luta,#ptbr,#ao,#fantasia,#portugues,#shonen,#misterio,#briga,#purpose,#br,#luta,#ptbr,#ao,#fantasia,#portugues,action,action,mystery,fantasy,action,mystery,fantasy,"	"https://tapas.io/series/Purpose-PT-BR"
Purpose 	No	100/384	26.041666666666668	"#adventure,#action,#shonen,#fantasy,#drama,#mystery,#fight,#combat,#nightmare,#purpose,#adventure,#action,#shonen,#fantasy,#drama,#mystery,#fight,#combat,#nightmare,#purpose,action,action,mystery,fantasy,action,mystery,fantasy,"	"https://tapas.io/series/Purpose"
Encephalon 	YESSSSS	101/385	26.233766233766232	"#fantasy,#horror,#mystery,#thriller,#lgbtq,#phycological,#kidcore,#backrooms,#dreamcore,#clowncore,#fantasy,#horror,#mystery,#thriller,#lgbtq,#phycological,#kidcore,#backrooms,#dreamcore,#clowncore,horror,horror,drama,fantasy,horror,drama,fantasy,"	"https://tapas.io/series/Encephalon"
FAKER Pincushion Entries 	No	101/386	26.165803108808287	"#faker,#pincushion,#medoes_art,#faker,#pincushion,#medoes_art,drama,drama,action,fantasy,drama,action,fantasy,"	"https://tapas.io/series/FAKER-Pincushion-Entries"
StarCutters 	No	101/387	26.098191214470283	"#action,#funny,#webcomic,#comedy,#robot,#robots,#bee,#jamie,#starcutters,#starcutter,#action,#funny,#webcomic,#comedy,#robot,#robots,#bee,#jamie,#starcutters,#starcutter,comedy,comedy,action,comedy,action,"	"https://tapas.io/series/StarCutters"
Limit of exhaustive questions 	YESSSSS	102/388	26.288659793814436	"romance,romance,drama,lgbtq+,romance,drama,lgbtq+,"	"https://tapas.io/series/Limit-of-exhaustive-questions-"
Skinshed 	YESSSSS	103/389	26.47814910025707	"horror,horror,lgbtq+,comedy,horror,lgbtq+,comedy,"	"https://tapas.io/series/Skinshed"
Headless Devourer 	No	103/390	26.410256410256412	"action,action,mystery,science fiction,action,mystery,science fiction,"	"https://tapas.io/series/Headless-Devourer"
Ratboss 	No	103/391	26.342710997442452	"#fun,#rat,#oc,#ratboy,#fun,#rat,#oc,#ratboy,comedy,comedy,slice of life,comedy,slice of life,"	"https://tapas.io/series/Ratboss"
Infección: Venganza 	No	103/392	26.27551020408163	"#venganza,#familia,#infeccin,#infectados,#estado_de_infeccion,#venganza,#familia,#infeccin,#infectados,#estado_de_infeccion,action,action,horror,mystery,action,horror,mystery,"	"https://tapas.io/series/Infeccion-Venganza"
MonkeyCrew (Español) 	No	103/393	26.208651399491096	"#subcultura,#accion,#espanol,#monkeycrew,#subcultura,#accion,#espanol,#monkeycrew,action,action,comedy,science fiction,action,comedy,science fiction,"	"https://tapas.io/series/MonkeyCrew-Espaol"
Forget-me-not 	YESSSSS	104/394	26.39593908629442	"#art,#orphan,#boys_love,#russia,#historical_drama,#nineteenth_century,#art,#orphan,#boys_love,#russia,#historical_drama,#nineteenth_century,bl,bl,drama,slice of life,bl,drama,slice of life,"	"https://tapas.io/series/forget-me-nots"
