title	queer?	yes/all	%	tags	url
Sketch Scouts: The Comic 	No	155/449	34.521158129175944	"comedy,comedy,comedy,"	"https://tapas.io/series/Sketch-Scouts-The-Comic/info"
Jet's Black Nuzlocke 	No	155/450	34.44444444444444	"#pokemon,#nuzlocke,#jon_dami,#nuzlocke_challenge,#jetsblacknuzlocke,#pokemon_black,#pokemon,#nuzlocke,#jon_dami,#nuzlocke_challenge,#jetsblacknuzlocke,#pokemon_black,comedy,comedy,comedy,"	"https://tapas.io/series/jbn/info"
Please Be Merciful 	No	155/451	34.368070953436806	"#gaming,#overwatch,#gaming,#overwatch,gaming,gaming,gaming,"	"https://tapas.io/series/Please-Be-Merciful/info"
Glitterlaced  	YESSSSS	156/452	34.51327433628318	"#cute,#lesbian,#funny,#comedy,#angel,#demon,#cat,#cats,#lgbt,#inks,#4koma,#girlfriends,#chill,#sapphic,#cute,#lesbian,#funny,#comedy,#angel,#demon,#cat,#cats,#lgbt,#inks,#4koma,#girlfriends,#chill,#sapphic,slice of life,slice of life,lgbtq+,comedy,slice of life,lgbtq+,comedy,"	"https://tapas.io/series/glitterlaced/info"
Doutor A 	No	156/453	34.437086092715234	"#misterio,#brasileiro,#medico,#estranho,#fantasia,#misterio,#brasileiro,#medico,#estranho,#fantasia,fantasy,fantasy,horror,mystery,fantasy,horror,mystery,"	"https://tapas.io/series/Doutor-A/info"
Comics by Dre 	No	156/454	34.36123348017621	"#cute,#friendship,#comedy,#girls,#slice_of_life,#cute,#friendship,#comedy,#girls,#slice_of_life,slice of life,slice of life,slice of life,"	"https://tapas.io/series/Comics-by-Dre/info"
Hostages of reality 	YESSSSS	157/455	34.505494505494504	"#romance,#horror,#bl,#mental_hospital,#asylum,#psychologic_horror,#romance,#horror,#bl,#mental_hospital,#asylum,#psychologic_horror,mystery,mystery,horror,drama,mystery,horror,drama,"	"https://tapas.io/series/Hostages-of-reality/info"
Plague Times 	No	157/456	34.42982456140351	"comedy,comedy,horror,comedy,horror,"	"https://tapas.io/series/Plague-Times/info"
Eidolon Lore and Extras 	No	157/457	34.35448577680525	"#magic,#elves,#lore,#mages,#eidolonguildofthorns,#magic,#elves,#lore,#mages,#eidolonguildofthorns,fantasy,fantasy,action,slice of life,fantasy,action,slice of life,"	"https://tapas.io/series/Eidolon-Lore-and-Extras/info"
Nuzlocke: Rea 	No	157/458	34.27947598253275	"#pokemon,#nuzlocke,#pokemon_xy,#pokemon_x,#ginjaninjaowo,#pokemon,#nuzlocke,#pokemon_xy,#pokemon_x,#ginjaninjaowo,gaming,gaming,gaming,"	"https://tapas.io/series/Nuzlocke-Rea/info"
