title	queer?	yes/all	%	tags	url
title	queer?	yes/all	%	tags	url
 Patronage 	YESSSSS	1/1	100.0	"#drama,#queer,#lgbtq,#tattoo,#patronage,#drama,#queer,#lgbtq,#tattoo,#patronage,lgbtq+,lgbtq+,bl,drama,lgbtq+,bl,drama,"	"https://tapas.io/series/Patronage/info"
 Date Me for Real 	No	1/2	50.0	"#romance,#school,#college,#student,#enemies_to_lovers,#romance,#school,#college,#student,#enemies_to_lovers,romance,romance,drama,comedy,romance,drama,comedy,"	"https://tapas.io/series/Date-Me-for-Real/info"
 What Will Be Left 	YESSSSS	2/3	66.66666666666666	"#depression,#furry,#gif,#homestuck,#interactive,#undertale,#psychodelic,#psychological_horror,#kanye_west,#hylics,#depression,#furry,#gif,#homestuck,#interactive,#undertale,#psychodelic,#psychological_horror,#kanye_west,#hylics,gaming,gaming,horror,lgbtq+,gaming,horror,lgbtq+,"	"https://tapas.io/series/What-Will-Be-Left/info"
 Capitão estrela 	YESSSSS	3/4	75.0	"#digimon,#pedro,#capitae_estrela,#xveemon,#gokai_black,#gokaiger,#souldozer,#soulbrain,#metalder,#nacional_kido,#digimon,#pedro,#capitae_estrela,#xveemon,#gokai_black,#gokaiger,#souldozer,#soulbrain,#metalder,#nacional_kido,slice of life,slice of life,fantasy,slice of life,fantasy,"	"https://tapas.io/series/Capito-estrela/info"
 OPERATION RINGS 	No	3/5	60.0	"fantasy,fantasy,action,science fiction,fantasy,action,science fiction,"	"https://tapas.io/series/OPERATION-RINGS/info"
 Déjame amarte  	YESSSSS	4/6	66.66666666666666	"bl,bl,bl,"	"https://tapas.io/series/Djame-amarte-/info"
 It's a Hell of a Day 	YESSSSS	5/7	71.42857142857143	"action,action,bl,comedy,action,bl,comedy,"	"https://tapas.io/series/Its-a-Hell-of-a-Day/info"
 VETITI LIBRI 	No	5/8	62.5	"#magic,#monsters,#mages,#magic,#monsters,#mages,fantasy,fantasy,action,comedy,fantasy,action,comedy,"	"https://tapas.io/series/VETITI-LIBRI/info"
 A capitã Harumi não é só assustadora 	No	5/9	55.55555555555556	"#romance,#ecchi,#comedia,#brasil,#militar,#slice_of_life,#romance,#ecchi,#comedia,#brasil,#militar,#slice_of_life,romance,romance,comedy,romance,comedy,"	"https://tapas.io/series/A-capit-Harumi-no--s-assustadora/info"
 Life lessons for dummies 	No	5/10	50.0	"romance,romance,slice of life,romance,slice of life,"	"https://tapas.io/series/Life-lessons-for-dummies/info"
 Naturlig Kärlek 	YESSSSS	6/11	54.54545454545454	"lgbtq+,lgbtq+,slice of life,lgbtq+,slice of life,"	"https://tapas.io/series/Naturlig-Krlek/info"
 Do You Even Witch 	YESSSSS	7/12	58.333333333333336	"#gay,#yaoi,#magic,#fantasy,#comic,#romance,#webcomic,#shounen_ai,#school,#color,#supernatural,#bl,#witch,#lgbt,#boys_love,#webtoon,#slash,#colored,#boyslove,#boylove,#shounenai,#mlm,#slice_of_life,#boy_love,#in_color,#gay,#yaoi,#magic,#fantasy,#comic,#romance,#webcomic,#shounen_ai,#school,#color,#supernatural,#bl,#witch,#lgbt,#boys_love,#webtoon,#slash,#colored,#boyslove,#boylove,#shounenai,#mlm,#slice_of_life,#boy_love,#in_color,bl,bl,fantasy,bl,fantasy,"	"https://tapas.io/series/DYEW/info"
 Eedenin Henget (Finnish) 	No	7/13	53.84615384615385	"#action,#fantasy,#comic,#finnish,#action,#fantasy,#comic,#finnish,action,action,fantasy,action,fantasy,"	"https://tapas.io/series/Eedenin-Henget-Finnish/info"
 Divine Damnation 	No	7/14	50.0	"#love,#fantasy,#angels,#devils,#forbiddenlove,#bestromance,#bestfantasy,#love,#fantasy,#angels,#devils,#forbiddenlove,#bestromance,#bestfantasy,romance,romance,comedy,fantasy,romance,comedy,fantasy,"	"https://tapas.io/series/divinedamnation/info"
 My Weird Roommate 	YESSSSS	8/15	53.333333333333336	"#romance,#comedy,#bl,#slice_of_life,#romance,#comedy,#bl,#slice_of_life,bl,bl,bl,"	"https://tapas.io/series/My-Weird-Roommate/info"
 Not Serious About Serious 	YESSSSS	9/16	56.25	"#romance,#drama,#comedy,#bl,#lgbt,#slice_of_life,#romance,#drama,#comedy,#bl,#lgbt,#slice_of_life,bl,bl,lgbtq+,slice of life,bl,lgbtq+,slice of life,"	"https://tapas.io/series/Not_Serious_About_Serious/info"
